Magnitude,amax,Liq,Avg Depth,Depth to GWT,sigvc,sig'vc,Tip,Sleeve,Friction,n,Q,I c,PI,Lab FC,I c est. FC,Repr. FC,C N,qc1N,Iqc1N,"qc1N,cs",rd,CSR,K sigma,MSF,"CSR for M=7.5,sig=1"
6.93,0.33,1,7,5.3,129,112,51.3,0.39,0.79,0.5,47.6,2.11,0,13,32,13,0.94,48.4,13.6,62,0.91,0.225,0.99,1.03,0.221
6.93,0.38,1,5.2,3.5,95,79,56,0.36,0.66,0.5,62.3,1.97,0,18,21,18,1.14,63.8,27.6,91.4,0.94,0.282,1.02,1.04,0.263
6.93,0.47,1,2.7,1.5,50,38,48,0.62,1.31,0.5,77.4,2.07,0,15,29,15,1.63,78.3,21.2,99.5,0.98,0.391,1.1,1.05,0.338
6.93,0.13,0,4.5,1.8,84,57,36,0.22,0.61,0.5,46.8,2.06,0,14,28,14,1.4,50.3,16.3,66.6,0.95,0.118,1.05,1.03,0.109
6.93,0.13,0,4,1.7,74,52,40,0.24,0.61,0.5,54.9,2,0,10,23,10,1.48,59.3,6.6,65.9,0.96,0.116,1.05,1.03,0.107
6.93,0.12,0,6.9,6.4,125,120,40,0.92,2.37,0.5,35.5,2.5,0,7,63,7,0.89,35.5,1.2,36.7,0.91,0.074,0.99,1.02,0.074
6.93,0.12,0,7.2,6.4,131,123,56,0.9,1.64,0.5,49.5,2.28,0,9,46,9,0.89,49.6,4.2,53.8,0.91,0.075,0.99,1.02,0.075
6.93,0.24,1,3.8,3,66,59,60,0.22,0.37,0.5,77.8,1.77,0,0,4,4,1.35,80.7,0,80.8,0.96,0.169,1.05,1.04,0.155
6.93,0.24,0,6.2,5.5,108,102,105,2.94,2.83,0.5,103.7,2.22,0,10,40,10,1,104.9,7.8,112.7,0.93,0.154,1,1.07,0.144
6.93,0.28,1,6.3,3,116,84,55,0.22,0.41,0.5,59.1,1.89,0,3,14,3,1.12,61.6,0,61.6,0.92,0.232,1.01,1.03,0.223
6.93,0.28,0.5,6.3,3,116,84,56,0.84,1.53,0.5,60.2,2.2,0,3,39,3,1.12,62.7,0,62.7,0.92,0.232,1.01,1.03,0.223
6.93,0.18,1,5.5,3.5,89,70,19,0.11,0.58,0.5,21.8,2.35,0,52,51,52,1.23,23.4,52.9,76.3,0.94,0.14,1.03,1.03,0.131
6.93,0.28,1,6.3,3,117,84,52,0.25,0.49,0.5,55.7,1.95,0,8,19,8,1.12,58.1,2.6,60.7,0.92,0.233,1.01,1.03,0.224
6.93,0.28,1,7.5,3,139,95,81,0.35,0.44,0.5,82,1.78,0,12,5,12,1.03,83.6,12.8,96.4,0.9,0.241,1.01,1.05,0.228
6.93,0.16,1,5,1.5,93,59,40,0.28,0.72,0.5,51.1,2.06,0,20,28,20,1.34,53.4,30.7,84.2,0.94,0.155,1.05,1.04,0.142
6.69,0.84,1,8.9,7.2,164,147,76,1.86,2.5,0.5,61.7,2.33,0,50,50,50,0.85,64.5,63.1,127.5,0.86,0.526,0.95,1.13,0.488
6.69,0.8,1,3.9,3.4,71,66,80,0.95,1.2,0.5,97.8,1.97,0,20,21,20,1.2,96,36.5,132.5,0.96,0.534,1.06,1.15,0.44
6.9,0.37,1,7,2,125,76,75,0.28,0.38,0.5,85,1.74,0,,2,2,1.16,87.3,0,87.3,0.91,0.36,1.03,1.04,0.336
6.9,0.65,0,11.8,3.1,210,125,178.7,2.54,1.44,0.5,158.5,1.87,0,,13,13,0.93,165.9,20.3,186.2,0.82,0.583,0.95,1.26,0.487
6.9,0.5,1,3.8,2,67,50,45.9,0.3,0.66,0.5,64.6,1.96,0,,20,20,1.43,65.8,31.6,97.4,0.96,0.421,1.07,1.05,0.372
6.9,0.7,0,5,2.5,93,68,140.4,0.84,0.6,0.5,170,1.59,0,,0,0,1.16,163.5,0,163.5,0.94,0.584,1.07,1.18,0.462
6.9,0.6,1,4.6,1.4,86,54,100,0.15,0.15,0.5,135.1,1.4,0,,0,0,1.31,131.1,0,131.1,0.95,0.584,1.08,1.1,0.489
6.9,0.5,0,3.4,3,62,58,128.3,1.98,1.55,0.5,168.9,1.88,0,,13,13,1.22,157,21.6,178.6,0.97,0.335,1.1,1.23,0.248
6.9,0.6,1,6.5,1.8,121,75,23.2,0.09,0.42,0.5,25.5,2.23,0,,41,41,1.18,27.3,49.3,76.7,0.92,0.578,1.03,1.04,0.544
6.9,0.6,1,4.5,1.8,84,57,50.2,0.44,0.89,0.5,65.7,2.02,0,,25,25,1.32,66.2,41.6,107.8,0.95,0.543,1.06,1.07,0.479
6.9,0.6,1,4,2.5,72,57,37.9,0.11,0.3,0.5,49.6,1.91,0,,15,15,1.39,52.5,20.3,72.8,0.96,0.471,1.05,1.03,0.434
6.9,0.45,1,4.8,2.1,86,60,42.8,0.33,0.79,0.5,54.3,2.06,0,,28,28,1.29,55.4,44.3,99.8,0.95,0.396,1.05,1.06,0.356
6.9,0.45,1,6,2.6,109,76,20,0.34,1.8,0.5,21.8,2.59,0,,70,70,1.17,23.4,57.5,80.9,0.93,0.391,1.03,1.04,0.366
6.9,0.65,1,4.3,2,77,55,88,0.4,0.46,0.5,118.2,1.65,0,,0,0,1.33,116.7,0,116.7,0.96,0.565,1.07,1.08,0.488
6.9,0.65,0,1.4,1,25,21,79,0.31,0.39,0.5,173,1.48,0,,0,0,1.7,134.3,0,134.3,0.99,0.498,1.1,1.11,0.409
6.9,0.6,1,4.5,2.5,81,61,62.1,0.27,0.44,0.5,78.6,1.79,0,,7,7,1.31,81.4,1,82.3,0.95,0.49,1.05,1.04,0.45
6.9,0.45,1,3.5,2.6,62,53,23,0.22,0.96,0.5,30.9,2.32,0,,48,48,1.41,32.4,53.9,86.3,0.97,0.329,1.06,1.04,0.298
6.9,0.6,1,5.5,2.4,99,69,40.2,0.24,0.62,0.5,47.3,2.06,0,,28,28,1.22,48.9,42.7,91.6,0.94,0.523,1.04,1.05,0.481
6.9,0.6,1,5.5,2.4,99,69,47.9,0.35,0.75,0.5,56.6,2.04,0,,26,26,1.21,57.9,41.8,99.7,0.94,0.523,1.04,1.06,0.476
6.9,0.65,0,3.8,2,68,51,126.8,0.94,0.75,0.5,178.4,1.64,0,,0,0,1.3,165.1,0,165.1,0.96,0.545,1.1,1.18,0.418
6.9,0.4,1,5.5,1.5,102,62,24.8,0.1,0.43,0.5,30.3,2.17,0,,36,36,1.3,32.3,47.2,79.5,0.94,0.396,1.04,1.04,0.366
6.9,0.6,0,2.8,1.9,50,41,110,0.67,0.61,0.5,171.8,1.59,0,,0,0,1.43,156.8,0,156.8,0.98,0.462,1.1,1.16,0.362
